Reaction,Rate of Progress (ropi)
N + O2 <=> NO + O,-2.1297758604092452e-42 mol/m^3/s
N + OH <=> H + NO,-2.625981319933915e-43 mol/m^3/s
N2O + O <=> N2 + O2,2.607194470526319e-34 mol/m^3/s
N2O + O <=> 2 NO,1.0854062823446472e-35 mol/m^3/s
H + N2O <=> N2 + OH,4.7504672745562944e-34 mol/m^3/s
N2O + OH <=> HO2 + N2,5.59611389314557e-35 mol/m^3/s
N2O (+M) <=> N2 + O (+M),2.3273816893660784e-33 mol/m^3/s
HO2 + NO <=> NO2 + OH,6.283832860535835e-30 mol/m^3/s
NO + O + M <=> NO2 + M,-1.91260573171855e-32 mol/m^3/s
NO2 + O <=> NO + O2,5.689905633361008e-31 mol/m^3/s
H + NO2 <=> NO + OH,5.4466710011026655e-30 mol/m^3/s
NH + O <=> H + NO,-8.8851426044998e-48 mol/m^3/s
H + NH <=> H2 + N,0.0 mol/m^3/s
NH + OH <=> H + HNO,0.0 mol/m^3/s
NH + OH <=> H2O + N,0.0 mol/m^3/s
NH + O2 <=> HNO + O,0.0 mol/m^3/s
NH + O2 <=> NO + OH,-1.4669205380174743e-46 mol/m^3/s
N + NH <=> H + N2,0.0 mol/m^3/s
H2O + NH <=> H2 + HNO,0.0 mol/m^3/s
NH + NO <=> N2 + OH,0.0 mol/m^3/s
NH + NO <=> H + N2O,-3.2207251033809493e-36 mol/m^3/s
NH2 + O <=> NH + OH,0.0 mol/m^3/s
NH2 + O <=> H + HNO,0.0 mol/m^3/s
H + NH2 <=> H2 + NH,0.0 mol/m^3/s
NH2 + OH <=> H2O + NH,0.0 mol/m^3/s
NNH <=> H + N2,0.0 mol/m^3/s
NNH + M <=> H + N2 + M,0.0 mol/m^3/s
NNH + O2 <=> HO2 + N2,0.0 mol/m^3/s
NNH + O <=> N2 + OH,0.0 mol/m^3/s
NNH + O <=> NH + NO,0.0 mol/m^3/s
H + NNH <=> H2 + N2,0.0 mol/m^3/s
NNH + OH <=> H2O + N2,0.0 mol/m^3/s
CH3 + NNH <=> CH4 + N2,0.0 mol/m^3/s
H + NO + M <=> HNO + M,3.7876060436511446e-34 mol/m^3/s
HNO + O <=> NO + OH,-6.109589873933913e-44 mol/m^3/s
H + HNO <=> H2 + NO,-6.9704926847391e-38 mol/m^3/s
HNO + OH <=> H2O + NO,-1.353480275357146e-40 mol/m^3/s
HNO + O2 <=> HO2 + NO,-5.409400972230789e-33 mol/m^3/s
CN + O <=> CO + N,0.0 mol/m^3/s
CN + OH <=> H + NCO,0.0 mol/m^3/s
